,X,vcode,imageFile,pairID,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,nameCat,ExprCategory,preNomMod,postNomMod,type_mod,grouped_tags
0,6305,1820290,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white airplane,the white airplane,"[('the', 'DT'), ('white', 'JJ'), ('airplane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN airplane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'airplane']",airplane,airplane,ref,syntax,['white'],['--'],['colour'],['visual']
1,3387,2611325,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the Air Canada airplane,the Air Canada airplane,"[('the', 'DT'), ('air', 'NN'), ('canada', 'NNP'), ('airplane', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (NN air))
    (NP (NNP canada))
    (NP (NN airplane))))","[(ROOT, 0, 4), (det, 4, 1), (compound, 3, 2), (compound, 4, 3)]","['DT', 'NN', 'NNP', 'NN']","['the', 'air', 'canada', 'airplane']",airplane,airplane,ref,syntax,"['air', 'canada']",['--'],['text'],['visual']
2,1310,3839629,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the jet airplane with the maple leaf,the jet airplane with the maple leaf,"[('the', 'DT'), ('jet', 'NN'), ('airplane', 'NN'), ('with', 'IN'), ('the', 'DT'), ('maple', 'NN'), ('leaf', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN jet) (NN airplane))
    (PP (IN with)
      (NP (DT the) (NN maple) (NN leaf)))))","[(ROOT, 0, 3), (det, 3, 1), (compound, 3, 2), (case, 7, 4), (det, 7, 5), (compound, 7, 6), (nmod, 3, 7)]","['DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'NN']","['the', 'jet', 'airplane', 'with', 'the', 'maple', 'leaf']",airplane,jet airplane,ref,syntax,['jet'],"['with', 'the', 'maple', 'leaf']","['with', 'part_or_object']",['part']
3,3473,7064640,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the large airplane with the maple leaf in red on the back,the large airplane with the maple leaf in red on the back.,"[('the', 'DT'), ('large', 'JJ'), ('airplane', 'NN'), ('with', 'IN'), ('the', 'DT'), ('maple', 'NN'), ('leaf', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('on', 'IN'), ('the', 'DT'), ('back', 'NN')]","(ROOT
  (NP
    (NP (DT the) (JJ large) (NN airplane))
    (PP (IN with)
      (NP
        (NP (DT the) (NN maple) (NN leaf))
        (PP (IN in)
          (NP
            (NP (JJ red))
            (PP (IN on)
              (NP (DT the) (NN back)))))))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2), (case, 7, 4), (det, 7, 5), (compound, 7, 6), (nmod, 3, 7), (case, 9, 8), (nmod, 3, 9), (case, 12, 10), (det, 12, 11), (nmod, 9, 12)]","['DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', 'JJ', 'IN', 'DT', 'NN']","['the', 'large', 'airplane', 'with', 'the', 'maple', 'leaf', 'in', 'red', 'on', 'the', 'back']",airplane,airplane,ref,syntax,['large'],"['with', 'the', 'maple', 'leaf', 'in', 'red', 'on', 'the', 'back']","['size', 'colour', 'position', 'position', 'with', 'part_or_object']","['visual', 'part', 'pos_orient']"
4,5360,8998977,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the airplane on the ground,the airplane on the ground,"[('the', 'DT'), ('airplane', 'NN'), ('on', 'IN'), ('the', 'DT'), ('ground', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN airplane))
    (PP (IN on)
      (NP (DT the) (NN ground)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'airplane', 'on', 'the', 'ground']",airplane,airplane,ref,syntax,['--'],"['on', 'the', 'ground']",['position'],['pos_orient']
5,683,4235564,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the big aeroplane,the big aeroplane,"[('the', 'DT'), ('big', 'JJ'), ('aeroplane', 'NN')]","(ROOT
  (NP (DT the) (JJ big) (NN aeroplane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'big', 'aeroplane']",aeroplane,aeroplane,ref,syntax,['big'],['--'],['size'],['visual']
6,2233,6047398,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the plane on the ground,the plane on the ground,"[('the', 'DT'), ('plane', 'NN'), ('on', 'IN'), ('the', 'DT'), ('ground', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN on)
      (NP (DT the) (NN ground)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'plane', 'on', 'the', 'ground']",plane,plane,ref,syntax,['--'],"['on', 'the', 'ground']",['position'],['pos_orient']
7,4485,8598940,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the largest plane,the largest plane,"[('the', 'DT'), ('largest', 'JJS'), ('plane', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (JJS largest) (NN plane))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJS', 'NN']","['the', 'largest', 'plane']",plane,plane,ref,syntax,['largest'],['--'],['size'],['visual']
8,4677,8644237,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white passenger plane,the white passenger plane,"[('the', 'DT'), ('white', 'JJ'), ('passenger', 'NN'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN passenger) (NN plane)))","[(ROOT, 0, 4), (det, 4, 1), (amod, 4, 2), (compound, 4, 3)]","['DT', 'JJ', 'NN', 'NN']","['the', 'white', 'passenger', 'plane']",plane,passenger plane,ref,syntax,"['white', 'passenger']",['--'],['colour'],['visual']
9,6178,3096867,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the landing plane,the landing plane,"[('the', 'DT'), ('landing', 'NN'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (NN landing) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (compound, 3, 2)]","['DT', 'NN', 'NN']","['the', 'landing', 'plane']",plane,plane,ref,syntax,['landing'],['--'],['--'],[]
