X,vcode,imageFile,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,head_noun_orig,preNomMod,postNomMod,type_mod,preNomModstr,postNomModstr,preNomTags,postNomTags,type_mod_Left,type_mod_Right,actionL,state_verbL,withL,textL,part_or_objectL,colourL,positionL,sizeL,shapeL,orientationL,ageL,materialL,other_adjL,visual_patternL,actionR,state_verbR,withR,textR,part_or_objectR,colourR,positionR,sizeR,shapeR,orientationR,ageR,materialR,other_adjR,visual_patternR,visualL,pos_orientL,eventualityL,part_otherL,visualR,pos_orientR,eventualityR,part_otherR,anyR,anyL,notagsR,notagsL
6742,1504427,airplane_jet_ambi_unspec_3097446.png,airplane,jet,unsp,the plane with klm visible on tail,the plane with klm visible on tail,"[('the', 'DT'), ('plane', 'NN'), ('with', 'IN'), ('klm', 'NN'), ('visible', 'JJ'), ('on', 'IN'), ('tail', 'NN')]","(ROOT
  (S
    (NP
      (NP (DT the) (NN plane))
      (PP (IN with)
        (NP (NN klm))))
    (ADJP (JJ visible))
    (PP (IN on)
      (NP (NN tail)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (dep, 5, 4), (nmod, 2, 5), (case, 7, 6), (obl, 5, 7)]","['DT', 'NN', 'IN', 'NN', 'JJ', 'IN', 'NN']","['the', 'plane', 'with', 'klm', 'visible', 'on', 'tail']",plane,plane,plane,['--'],"['with', 'klm', 'visible', 'on', 'tail']","['position', 'with', 'text', 'part_or_object']",--,with klm visible on tail,['DT'],"['IN', 'NN', 'JJ', 'IN', 'NN']",['--'],"['position', 'with', 'text', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,True,False,False,True
2395,8146096,airplane_jet_ambi_unspec_3097446.png,airplane,jet,unsp,the plane without a logo,the plane without a logo,"[('the', 'DT'), ('plane', 'NN'), ('without', 'IN'), ('a', 'DT'), ('logo', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN without)
      (NP (DT a) (NN logo)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'plane', 'without', 'a', 'logo']",plane,plane,plane,['--'],"['without', 'a', 'logo']","['with', 'text', 'part_or_object']",--,without a logo,['DT'],"['IN', 'DT', 'NN']",['--'],"['with', 'text', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
492,3994550,airplane_jet_ambi_unspec_3097446.png,airplane,jet,unsp,the plane with no logo,the plane with no logo,"[('the', 'DT'), ('plane', 'NN'), ('with', 'IN'), ('no', 'DT'), ('logo', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN plane))
    (PP (IN with)
      (NP (DT no) (NN logo)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'plane', 'with', 'no', 'logo']",plane,plane,plane,['--'],"['with', 'no', 'logo']","['with', 'text', 'part_or_object']",--,with no logo,['DT'],"['IN', 'DT', 'NN']",['--'],"['with', 'text', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
5134,5264234,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red emergency tube,the boat with red emergency tube,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('emergency', 'NN'), ('tube', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (JJ red) (NN emergency) (NN tube)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (amod, 6, 4), (compound, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'red', 'emergency', 'tube']",boat,boat,boat,['--'],"['with', 'red', 'emergency', 'tube']","['colour', 'with', 'part_or_object']",--,with red emergency tube,['DT'],"['IN', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
2732,4868622,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with the red circle,the boat with the red circle,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('the', 'DT'), ('red', 'JJ'), ('circle', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT the) (JJ red) (NN circle)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (det, 6, 4), (amod, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN']","['the', 'boat', 'with', 'the', 'red', 'circle']",boat,boat,boat,['--'],"['with', 'the', 'red', 'circle']","['colour', 'shape', 'with', 'part_or_object']",--,with the red circle,['DT'],"['IN', 'DT', 'JJ', 'NN']",['--'],"['colour', 'shape', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
3446,2611325,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red flotation device,the boat with red flotation device,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('flotation', 'NN'), ('device', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (JJ red) (NN flotation) (NN device)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (amod, 5, 4), (compound, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'red', 'flotation', 'device']",boat,boat,boat,['--'],"['with', 'red', 'flotation', 'device']","['colour', 'with', 'part_or_object']",--,with red flotation device,['DT'],"['IN', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
5076,4715719,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with a red life preserver,the boat with a red life preserver,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('a', 'DT'), ('red', 'JJ'), ('life', 'NN'), ('preserver', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT a) (JJ red) (NN life) (NN preserver)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 7, 3), (det, 7, 4), (amod, 6, 5), (compound, 7, 6), (nmod, 2, 7)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'a', 'red', 'life', 'preserver']",boat,boat,boat,['--'],"['with', 'a', 'red', 'life', 'preserver']","['colour', 'with', 'part_or_object']",--,with a red life preserver,['DT'],"['IN', 'DT', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
2436,8146096,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red and blue stripes,the boat with red and blue stripes,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('and', 'CC'), ('blue', 'JJ'), ('stripes', 'NNS')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP
        (ADJP (JJ red)
          (CC and)
          (JJ blue))
        (NNS stripes)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 7, 3), (amod, 7, 4), (cc, 6, 5), (conj, 4, 6), (nmod, 2, 7)]","['DT', 'NN', 'IN', 'JJ', 'CC', 'JJ', 'NNS']","['the', 'boat', 'with', 'red', 'and', 'blue', 'stripes']",boat,boat,boat,['--'],"['with', 'red', 'and', 'blue', 'stripes']","['colour', 'colour', 'with', 'part_or_object']",--,with red and blue stripes,['DT'],"['IN', 'JJ', 'CC', 'JJ', 'NNS']",['--'],"['colour', 'colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
3512,7064640,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the ship where you can see a red life saver in the back,the ship where you can see a red life saver in the back,"[('the', 'DT'), ('ship', 'NN'), ('where', 'WRB'), ('you', 'PRP'), ('can', 'MD'), ('see', 'VB'), ('a', 'DT'), ('red', 'JJ'), ('life', 'NN'), ('saver', 'NN'), ('in', 'IN'), ('the', 'DT'), ('back', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN ship))
    (SBAR
      (WHADVP (WRB where))
      (S
        (NP (PRP you))
        (VP (MD can)
          (VP (VB see)
            (NP (DT a) (JJ red) (NN life) (NN saver))
            (PP (IN in)
              (NP (DT the) (NN back)))))))))","[(ROOT, 0, 2), (det, 2, 1), (advmod, 6, 3), (nsubj, 6, 4), (aux, 6, 5), (acl:relcl, 2, 6), (det, 10, 7), (amod, 9, 8), (compound, 10, 9), (obj, 6, 10), (case, 13, 11), (det, 13, 12), (nmod, 10, 13)]","['DT', 'NN', 'WRB', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN']","['the', 'ship', 'where', 'you', 'can', 'see', 'a', 'red', 'life', 'saver', 'in', 'the', 'back']",ship,ship,ship,['--'],"['where', 'you', 'can', 'see', 'a', 'red', 'life', 'saver', 'in', 'the', 'back']","['colour', 'position', 'part_or_object']",--,where you can see a red life saver in the back,['DT'],"['WRB', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN']",['--'],"['colour', 'position', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,True,False,False,True
4407,2460515,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red,the boat with red,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (ADJP (JJ red)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 4, 3), (nmod, 2, 4)]","['DT', 'NN', 'IN', 'JJ']","['the', 'boat', 'with', 'red']",boat,boat,boat,['--'],"['with', 'red']","['colour', 'with']",--,with red,['DT'],"['IN', 'JJ']",['--'],"['colour', 'with']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
